,Date,Open,High,Low,Close,Volume,Adjusted,Diff,RSI,Typical Price,MF,MFI,EMA,SO,EMA12,EMA26,MACD,Signal Line
0,2007-01-02,133.475006,136.199997,132.350006,133.949997,121036,76.063339,,,134.16666666666666,16238996.666666666,,,,,,,
1,2007-01-03,134.5,139.949997,133.550003,138.5,265624,78.647064,4.550003000000004,,137.33333333333334,36479029.333333336,,,,,,,
2,2007-01-04,140.0,141.5,137.274994,137.824997,126718,78.263763,-0.6750030000000038,,138.86666366666665,17596905.886512663,,,,,,,
3,2007-01-05,138.0,139.5,133.350006,134.0,139666,76.091736,-3.824996999999996,,135.61666866666667,18941037.645998668,,,,,,,
4,2007-01-08,135.0,135.75,131.850006,133.649994,61890,75.89299,-0.3500060000000076,,133.75,8277787.5,,,,,,,
5,2007-01-09,135.75,135.75,133.25,133.774994,66256,75.963966,0.125,,134.25833133333333,8895420.000821333,,,,,,,
6,2007-01-10,132.5,133.5,130.0,130.524994,48292,74.118462,-3.25,,131.34166466666667,6342751.670082667,,,0.045651652173912385,,,,
7,2007-01-11,132.5,137.050003,132.300003,136.524994,96320,77.52555799999999,6.0,,135.29166666666666,13031293.333333332,,,0.567390782608695,,,,
8,2007-01-12,137.5,142.399994,135.0,137.024994,182950,77.809464,0.5,,138.14166266666666,25273017.184866667,,,0.5665320483219586,,,,
9,2007-01-15,138.949997,145.949997,138.850006,141.524994,205434,80.36481500000001,4.5,,142.10833233333332,29193883.144566,,300.5202775452885,0.7225702926464497,,,,
10,2007-01-16,142.550003,144.5,140.149994,141.199997,67980,80.18024399999999,-0.3249969999999962,,141.949997,9649760.79606,,302.42861395740965,0.7021943013531601,,,,
11,2007-01-17,141.5,151.5,141.050003,145.024994,438166,82.352272,3.824996999999996,,145.85833233333332,63910162.04516733,,304.653964243842,0.6988369302325578,341.28637415636985,,,
12,2007-01-18,152.5,159.899994,146.5,150.850006,1037490,85.65999599999999,5.825012000000015,,152.41666666666666,158130767.5,,308.5835814534354,0.6973247553160048,345.5498258375996,,,
13,2007-01-19,152.5,153.5,145.800003,147.024994,184068,83.48796800000001,-3.825012000000015,,148.774999,27384716.515932,,311.5151107845358,0.533514340638734,347.6966650944324,,,
14,2007-01-22,148.925003,150.800003,146.524994,148.425003,101736,84.28295899999999,1.4000090000000114,50.7326078388614,148.58333333333334,15116274.000000002,74.85340710301296,314.730348354302,0.5391568769052718,350.19879016454064,,,
15,2007-01-23,145.5,156.925003,145.0,152.574997,391394,86.639526,4.149993999999992,51.041531520658346,151.5,59296191.0,76.02332933220396,319.0146986706433,0.6520189465191143,354.3276724118946,,,
16,2007-01-24,153.5,158.949997,152.5,153.899994,185558,87.391914,1.3249969999999962,51.264326291285634,155.11666366666665,28783137.87665933,75.96516627075187,323.9149491901706,0.6962025316455697,358.64302960429666,,,
17,2007-01-25,155.25,156.0,149.274994,149.899994,113692,85.120529,-4.0,50.692048992163876,151.724996,17249918.245232,76.40506949138434,326.2773446048396,0.46949576792901354,361.5405077119657,,,
18,2007-01-29,152.5,152.5,148.0,149.475006,81078,84.879204,-0.4249879999999848,50.13501778674742,149.99166866666667,12161024.512156,75.40242359522351,328.3232862031974,0.3003360940950721,364.70891985533353,,,
19,2007-01-31,151.449997,158.5,151.449997,154.5,310260,87.732635,5.024993999999992,50.530525618139016,154.81666566666667,48033418.68974,77.08609279206736,331.17576263083134,0.6810037306818061,368.29999846182756,,,
20,2007-02-01,155.0,156.5,151.050003,152.0,150122,86.313019,-2.5,49.79390020542639,153.18333433333333,22996188.516788665,73.24613100304057,333.0877522818935,0.5017922226076466,370.91202158791407,,,
21,2007-02-02,153.5,154.25,149.550003,149.850006,103086,85.09214,-2.1499939999999924,49.95551556200373,151.21666966666666,15588321.609258,75.33539285234147,333.6284602610539,0.3476707557714893,372.1127087288722,,,
22,2007-02-05,151.949997,152.0,150.0,150.324997,68582,85.361862,0.4749909999999886,50.23481707517085,150.774999,10340450.981418,74.66919090189268,333.4135710570695,0.2123285513228905,373.4887796199162,,,
23,2007-02-06,151.25,152.050003,147.25,147.975006,144988,84.027435,-2.3499909999999886,50.43417990831694,149.09166966666666,21616503.001630668,75.17986542501316,333.0894279858607,0.06444497777777845,373.5696311469302,,,
24,2007-02-07,149.5,153.5,148.0,150.800003,174274,85.631592,2.824996999999996,50.238058591437046,150.76666766666668,26274710.240940668,72.43313476754146,333.51841907856357,0.31555582222222256,373.6089519837625,,,
25,2007-02-08,154.449997,154.449997,147.5,148.449997,117814,84.297165,-2.3500060000000076,50.396476745001586,150.13333133333333,17687808.297705334,71.97922853151793,332.5249545748961,0.10666639999999966,373.557612743866,634.3579419522646,-260.8003292083986,
26,2007-02-09,150.0,150.0,140.550003,141.574997,141660,80.393188,-6.875,50.57875095494144,144.04166666666666,20404942.5,61.75809136528258,329.2265807329718,0.06426295879554038,371.3422911882548,635.0967017889228,-263.754410600668,
27,2007-02-12,145.0,145.0,130.5,134.425003,171566,76.333076,-7.149993999999992,50.84565896475147,136.64166766666668,23443064.354899336,62.36422897591416,324.6009776094851,0.1638832355594869,366.61762870625853,633.7000451858478,-267.08241647958926,
