"Date","BLUECHIP.NS.Open","BLUECHIP.NS.High","BLUECHIP.NS.Low","BLUECHIP.NS.Close","BLUECHIP.NS.Volume","BLUECHIP.NS.Adjusted"
2015-01-02,0.4,0.45,0.4,0.4,4100,0.4
2015-01-05,0.45,0.45,0.4,0.45,22869,0.45
2015-01-06,0.45,0.45,0.45,0.45,2000,0.45
2015-01-07,0.4,0.4,0.4,0.4,10753,0.4
2015-01-08,0.4,0.4,0.35,0.4,2100,0.4
2015-01-09,0.35,0.4,0.35,0.35,7300,0.35
2015-01-12,0.3,0.3,0.3,0.3,1500,0.3
2015-01-13,0.3,0.3,0.3,0.3,0,0.3
2015-01-14,0.3,0.3,0.3,0.3,0,0.3
2015-01-15,0.3,0.3,0.3,0.3,3000,0.3
2015-01-16,0.35,0.35,0.35,0.35,4497,0.35
2015-01-19,0.3,0.3,0.3,0.3,6501,0.3
2015-01-20,0.35,0.35,0.35,0.35,100,0.35
2015-01-21,0.3,0.3,0.3,0.3,300,0.3
2015-01-22,0.3,0.3,0.3,0.3,11000,0.3
2015-01-23,0.3,0.3,0.3,0.3,0,0.3
2015-01-27,0.3,0.3,0.3,0.3,0,0.3
2015-01-28,0.3,0.3,0.3,0.3,1000,0.3
2015-01-29,0.3,0.3,0.25,0.3,507,0.3
2015-01-30,0.3,0.3,0.25,0.3,1500,0.3
2015-02-02,0.3,0.3,0.3,0.3,0,0.3
2015-02-03,0.3,0.3,0.3,0.3,2000,0.3
2015-02-04,0.3,0.3,0.25,0.3,5070,0.3
2015-02-05,0.3,0.3,0.3,0.3,1007,0.3
2015-02-06,0.3,0.3,0.3,0.3,110,0.3
2015-02-09,0.3,0.3,0.3,0.3,100,0.3
2015-02-10,0.3,0.3,0.3,0.3,0,0.3
2015-02-11,0.3,0.3,0.3,0.3,0,0.3
2015-02-12,0.3,0.3,0.3,0.3,0,0.3
2015-02-13,0.3,0.3,0.3,0.3,5000,0.3
2015-02-16,0.25,0.25,0.25,0.25,28577,0.25
2015-02-18,0.25,0.3,0.2,0.3,1100,0.3
2015-02-19,0.25,0.3,0.25,0.25,3300,0.25
2015-02-20,0.2,0.2,0.2,0.2,5795,0.2
2015-02-23,0.2,0.2,0.2,0.2,0,0.2
2015-02-24,0.2,0.2,0.2,0.2,8853,0.2
2015-02-25,0.25,0.25,0.25,0.25,1000,0.25
2015-02-26,0.3,0.3,0.3,0.3,25,0.3
2015-02-27,0.3,0.3,0.3,0.3,11200,0.3
2015-03-02,0.25,0.25,0.25,0.25,4000,0.25
2015-03-03,0.25,0.25,0.25,0.25,2115,0.25
2015-03-04,0.25,0.25,0.25,0.25,1100,0.25
2015-03-05,0.25,0.25,0.25,0.25,595,0.25
2015-03-09,0.25,0.3,0.25,0.3,5864,0.3
2015-03-10,0.35,0.35,0.3,0.35,1010,0.35
2015-03-11,0.35,0.35,0.35,0.35,100,0.35
2015-03-12,0.3,0.3,0.3,0.3,5200,0.3
2015-03-13,0.25,0.25,0.25,0.25,1757,0.25
2015-03-16,0.2,0.2,0.2,0.2,3000,0.2
2015-03-17,0.25,0.25,0.25,0.25,1000,0.25
2015-03-18,0.3,0.3,0.3,0.3,50,0.3
2015-03-19,0.25,0.25,0.25,0.25,1,0.25
2015-03-20,0.2,0.2,0.2,0.2,500,0.2
2015-03-23,0.2,0.2,0.2,0.2,1610,0.2
2015-03-24,0.2,0.2,0.2,0.2,0,0.2
2015-03-25,0.2,0.2,0.2,0.2,500,0.2
2015-03-26,0.2,0.2,0.2,0.2,0,0.2
2015-03-27,0.2,0.2,0.2,0.2,0,0.2
2015-03-30,0.15,0.2,0.15,0.15,10000,0.15
2015-03-31,0.2,0.2,0.2,0.2,1,0.2
2015-04-01,0.2,0.2,0.2,0.2,0,0.2
2015-04-06,0.2,0.2,0.2,0.2,0,0.2
2015-04-07,0.25,0.25,0.25,0.25,5,0.25
2015-04-08,0.25,0.25,0.2,0.25,1850,0.25
2015-04-09,0.25,0.25,0.25,0.25,98,0.25
2015-04-10,0.3,0.3,0.3,0.3,2700,0.3
2015-04-13,0.25,0.3,0.25,0.25,11100,0.25
2015-04-15,0.25,0.3,0.25,0.3,710,0.3
2015-04-16,0.3,0.3,0.3,0.3,0,0.3
2015-04-17,0.3,0.3,0.3,0.3,0,0.3
2015-04-20,0.25,0.25,0.25,0.25,101,0.25
2015-04-21,0.25,0.25,0.25,0.25,200,0.25
2015-04-22,0.3,0.3,0.2,0.3,9810,0.3
2015-04-23,0.3,0.3,0.3,0.3,0,0.3
2015-04-24,0.3,0.3,0.3,0.3,0,0.3
2015-04-27,0.3,0.3,0.3,0.3,100,0.3
2015-04-28,0.3,0.3,0.3,0.3,3650,0.3
2015-04-29,0.3,0.3,0.3,0.3,201,0.3
2015-04-30,0.3,0.3,0.3,0.3,0,0.3
2015-05-04,0.3,0.3,0.3,0.3,500,0.3
2015-05-05,0.3,0.3,0.3,0.3,1836,0.3
2015-05-06,0.3,0.3,0.3,0.3,500,0.3
2015-05-07,0.3,0.3,0.3,0.3,0,0.3
2015-05-08,0.3,0.3,0.3,0.3,0,0.3
2015-05-11,0.3,0.3,0.3,0.3,0,0.3
2015-05-12,0.3,0.3,0.3,0.3,0,0.3
2015-05-13,0.3,0.3,0.3,0.3,0,0.3
2015-05-14,0.3,0.3,0.3,0.3,0,0.3
2015-05-15,0.25,0.25,0.25,0.25,1600,0.25
2015-05-18,0.2,0.25,0.2,0.2,1550,0.2
2015-05-19,0.2,0.2,0.2,0.2,0,0.2
2015-05-20,0.25,0.25,0.25,0.25,1450,0.25
2015-05-21,0.25,0.3,0.25,0.25,16185,0.25
2015-05-22,0.3,0.3,0.2,0.3,10500,0.3
2015-05-25,0.3,0.3,0.3,0.3,100,0.3
2015-05-26,0.3,0.3,0.3,0.3,0,0.3
2015-05-27,0.3,0.3,0.3,0.3,1,0.3
2015-05-28,0.3,0.3,0.3,0.3,350,0.3
2015-05-29,0.3,0.3,0.3,0.3,0,0.3
2015-06-01,0.3,0.3,0.3,0.3,0,0.3
2015-06-02,0.3,0.3,0.3,0.3,0,0.3
2015-06-03,0.25,0.25,0.25,0.25,10220,0.25
2015-06-04,0.2,0.25,0.2,0.2,10001,0.2
2015-06-05,0.2,0.2,0.2,0.2,685,0.2
2015-06-08,0.2,0.2,0.2,0.2,0,0.2
2015-06-09,0.2,0.25,0.2,0.2,13100,0.2
2015-06-10,0.15,0.15,0.15,0.15,200,0.15
2015-06-11,0.2,0.2,0.2,0.2,7100,0.2
2015-06-12,0.2,0.2,0.2,0.2,800,0.2
2015-06-15,0.2,0.2,0.2,0.2,0,0.2
2015-06-16,0.15,0.15,0.15,0.15,2000,0.15
2015-06-17,0.15,0.15,0.15,0.15,100,0.15
2015-06-18,0.15,0.15,0.15,0.15,2000,0.15
2015-06-19,0.15,0.15,0.15,0.15,23433,0.15
2015-06-22,0.15,0.15,0.15,0.15,1000,0.15
2015-06-23,0.15,0.15,0.15,0.15,0,0.15
2015-06-24,0.2,0.2,0.2,0.2,11,0.2
2015-06-25,0.2,0.2,0.2,0.2,0,0.2
2015-06-26,0.2,0.2,0.2,0.2,400,0.2
2015-06-29,0.2,0.2,0.2,0.2,0,0.2
2015-06-30,0.15,0.15,0.15,0.15,4000,0.15
2015-07-01,0.15,0.15,0.15,0.15,5000,0.15
2015-07-02,0.15,0.15,0.15,0.15,0,0.15
2015-07-03,0.15,0.15,0.15,0.15,0,0.15
2015-07-06,0.15,0.15,0.15,0.15,0,0.15
2015-07-07,0.15,0.15,0.15,0.15,0,0.15
2015-07-08,0.15,0.15,0.15,0.15,0,0.15
2015-07-09,0.15,0.15,0.15,0.15,0,0.15
2015-07-10,0.15,0.15,0.15,0.15,0,0.15
2015-07-13,0.15,0.15,0.15,0.15,180,0.15
2015-07-14,0.2,0.2,0.2,0.2,90,0.2
2015-07-15,0.2,0.2,0.2,0.2,500,0.2
2015-07-16,0.2,0.2,0.2,0.2,500,0.2
2015-07-17,0.2,0.2,0.2,0.2,9506,0.2
2015-07-20,0.2,0.2,0.2,0.2,0,0.2
2015-07-21,0.25,0.25,0.25,0.25,7000,0.25
2015-07-22,0.25,0.25,0.2,0.25,12221,0.25
2015-07-23,0.3,0.3,0.3,0.3,3600,0.3
2015-07-24,0.35,0.35,0.3,0.35,12300,0.35
2015-07-27,0.35,0.35,0.35,0.35,22500,0.35
2015-07-28,0.4,0.4,0.4,0.4,28000,0.4
2015-07-29,0.4,0.4,0.4,0.4,0,0.4
2015-07-30,0.4,0.4,0.4,0.4,10000,0.4
2015-07-31,0.4,0.4,0.4,0.4,0,0.4
2015-08-03,0.4,0.4,0.35,0.4,12750,0.4
2015-08-04,0.35,0.35,0.35,0.35,9000,0.35
2015-08-05,0.35,0.35,0.35,0.35,10000,0.35
2015-08-06,0.3,0.3,0.3,0.3,3942,0.3
2015-08-07,0.3,0.3,0.25,0.3,14500,0.3
2015-08-10,0.35,0.35,0.35,0.35,44046,0.35
2015-08-11,0.3,0.3,0.3,0.3,100,0.3
2015-08-12,0.3,0.3,0.3,0.3,200,0.3
2015-08-13,0.3,0.3,0.3,0.3,200,0.3
2015-08-14,0.3,0.3,0.3,0.3,0,0.3
2015-08-17,0.3,0.3,0.3,0.3,5000,0.3
2015-08-18,0.3,0.3,0.3,0.3,7000,0.3
2015-08-19,0.25,0.25,0.25,0.25,7500,0.25
2015-08-20,0.3,0.3,0.3,0.3,5600,0.3
2015-08-21,0.25,0.25,0.25,0.25,500,0.25
2015-08-24,0.25,0.25,0.25,0.25,0,0.25
2015-08-25,0.25,0.25,0.25,0.25,0,0.25
2015-08-26,0.25,0.25,0.25,0.25,0,0.25
2015-08-27,0.25,0.25,0.25,0.25,0,0.25
2015-08-28,0.25,0.25,0.25,0.25,0,0.25
2015-08-31,0.25,0.25,0.25,0.25,0,0.25
2015-09-01,0.25,0.25,0.25,0.25,0,0.25
2015-09-02,0.2,0.2,0.2,0.2,3,0.2
2015-09-03,0.2,0.2,0.2,0.2,12000,0.2
2015-09-04,0.2,0.2,0.2,0.2,10,0.2
2015-09-07,0.2,0.2,0.2,0.2,0,0.2
2015-09-08,0.2,0.2,0.2,0.2,0,0.2
2015-09-09,0.2,0.2,0.2,0.2,0,0.2
2015-09-10,0.2,0.2,0.2,0.2,0,0.2
2015-09-11,0.2,0.2,0.2,0.2,0,0.2
2015-09-14,0.2,0.2,0.2,0.2,350,0.2
2015-09-15,0.2,0.2,0.2,0.2,1380,0.2
2015-09-16,0.2,0.2,0.2,0.2,1380,0.2
2015-09-18,0.2,0.2,0.2,0.2,0,0.2
2015-09-21,0.2,0.2,0.2,0.2,0,0.2
2015-09-22,0.25,0.25,0.25,0.25,2500,0.25
2015-09-23,0.25,0.25,0.25,0.25,0,0.25
2015-09-24,0.25,0.25,0.25,0.25,2000,0.25
2015-09-28,0.25,0.25,0.25,0.25,0,0.25
2015-09-29,0.25,0.25,0.25,0.25,0,0.25
2015-09-30,0.2,0.2,0.2,0.2,17220,0.2
